2000,1190532,417792,1534721,376533,173742,82787,15331,95.2
2005,1190532,947730,1348097,187045,75895,33391,8746,160.1
2010,1190532,791912,1452992,215754,90849,41212,8186,344.2
2015,1190532,288215,1592933,405694,194503,98835,20726,376.5
2017,1190532,1953396,610726,29324,6090,1110,256,494.4
2019,1190532,415608,1428864,412894,208437,107878,27222,598.3
